PENGHASILAN,TANGGUNGAN,USIA,BESAR PINJAMAN,TENOR,DP PRESENTASE,PEKERJAAN_Dokter,PEKERJAAN_Guru,PEKERJAAN_Karyawan Swasta,PEKERJAAN_Mahasiswa,PEKERJAAN_Nelayan,PEKERJAAN_PNS,PEKERJAAN_Pedagang,PEKERJAAN_Perawat,PEKERJAAN_Petani,PEKERJAAN_Swasta,PEKERJAAN_TNI/Polri,PEKERJAAN_Wiraswasta,JAMINAN_BPKB Mobil,JAMINAN_BPKB Motor,JAMINAN_Emas,JAMINAN_Sertifikat Rumah,JAMINAN_Sertifikat Tanah,JENIS KREDIT_Kredit Mobil,JENIS KREDIT_Kredit Motor,JENIS KREDIT_Kredit Rumah,JENIS KREDIT_Kredit Usaha,JENIS KREDIT_Multiguna,STATUS KEPEMILIKAN RUMAH_Keluarga,STATUS KEPEMILIKAN RUMAH_Kontrak,STATUS KEPEMILIKAN RUMAH_Kost,STATUS KEPEMILIKAN RUMAH_Milik,STATUS KEPEMILIKAN RUMAH_Milik Sendiri,STATUS KEPEMILIKAN RUMAH_Sewa,STATUS KEPEMILIKAN RUMAH_Tinggal dengan Orang Tua,RIWAYAT KREDIT_Baik,RIWAYAT KREDIT_Buruk,RIWAYAT KREDIT_Cukup,RIWAYAT KREDIT_Tidak Ada,target
-0.048485981989138865,-0.05878593149116592,-1.4580643271217721,-0.7950529904633628,1.0199757910763352,1.4652724427431552,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
-0.20985622462100847,0.6343981773421643,2.164164242670135,0.20509291251668588,-0.5487913223725936,1.9323507276004575,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
-1.372612957953137,-1.4451541491578264,2.164164242670135,1.3823952441789975,0.23559223435187077,-1.1503659524577372,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
-0.4118629495872678,-0.7519700403244961,-0.6531246449457928,-0.7722303472074117,0.23559223435187077,-0.2162093827431327,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0
-0.49074725387913065,-1.4451541491578264,-1.7599167079377644,-0.5351517586850928,-1.7253666574592903,1.838935070628997,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0
1.0152718500803308,1.3275822861754945,0.5542848783181763,-0.5414099201719521,-0.5487913223725936,1.1850254718287738,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
-0.039270365045054795,1.3275822861754945,-1.659299247665767,-0.43815730031040145,-0.5487913223725936,-0.4030406966860536,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,1
-0.6126389178679665,-0.05878593149116592,0.252432497502184,-0.7493580367292572,-0.5487913223725936,0.2508689021141695,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
-0.9473961316561174,1.3275822861754945,-0.5525071846737953,2.0489391898047993,-1.3331748790970581,0.2508689021141695,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,1
-0.5265920743190956,-0.05878593149116592,0.5542848783181763,-0.73792188149018,-0.5487913223725936,0.2508689021141695,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
